Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/08 5:20:57 PM GMT+5:30,24,Others,Once a month,Clothing and Fashion;others,No,Rarely,Keyword,First page,1,Maybe,Rarely,others,Often,No,Heavily,Yes,4,Sometimes,2,1,Customer service,I don't have any problem with Amazon,567877
2023/06/12 2:44:47 PM GMT+5:30,12,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,categories,First page,5,No,Rarely,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,4,Sometimes,5,3,Competitive prices,Nil,313221
2023/06/09 2:39:16 PM GMT+5:30,14,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,2,No,Always,others,Sometimes,Yes,Rarely,Sometimes,2,Yes,3,2,.,I have no problem with Amazon yet. But others tell me about the refund issues ,532959
2023/06/08 7:33:15 AM GMT+5:30,51,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,categories,First page,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Never,Sometimes,4,Sometimes,1,4,Product recommendations,Irrelevant product suggestions,310717
2023/06/11 11:01:04 PM GMT+5:30,46,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,Keyword,First page,4,Yes,Often,Found a better price elsewhere,Rarely,No,Rarely,Yes,3,No,2,5,Product recommendations,Add more familiar brands to the list,661323
2023/06/08 3:30:19 AM GMT+5:30,21,Male,Less than once a month,Beauty and Personal Care;others,No,Few times a month,Keyword,First page,4,No,Rarely,Found a better price elsewhere,Always,No,Occasionally,Sometimes,2,No,1,3,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,782815
2023/06/08 5:28:47 PM GMT+5:30,8,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,Keyword,First page,1,Maybe,Often,others,Often,Yes,Heavily,Yes,4,Sometimes,5,1,Product recommendations,Product quality and accuracy,916370
2023/06/09 3:09:41 PM GMT+5:30,8,Female,Multiple times a week,Home and Kitchen,Yes,Multiple times a day,others,First page,4,Yes,Never,others,Always,No,Moderately,No,1,Yes,4,4,Wide product selection,Customer service responsiveness,548662
2023/06/09 2:44:09 PM GMT+5:30,30,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,2,Yes,Often,Found a better price elsewhere,Never,No,Heavily,No,4,Sometimes,4,3,.,Irrelevant product suggestions,825564
2023/06/08 3:24:37 AM GMT+5:30,48,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a month,nan,First page,2,No,Often,Changed my mind or no longer need the item,Sometimes,No,Never,Yes,2,Sometimes,5,5,Competitive prices,Quality of product is very poor according to the big offers,813377
